Вариант,n,a_max,divider,modulo,Среднее время нахождения первого решения,Среднее время нахождения всех решений,Среднее время нахождения точного решения ГА,Доля точно решённых задач ГА,Количество хромосом в поколении
1,24,1073741824,0.8,Нет,1.1246496900000003,12.7223642,0.44247728260869557,0.092,200
2,24,16777216,1.0,Нет,0.9399423259999999,12.878603,0.4706651600000001,0.1,200
3,24,1048576,1.2,Нет,0.6585680339999999,12.8785764,0.4910612463768115,0.138,200
4,24,144715,1.4,Нет,0.39446126,12.6443304,0.5390735403225806,0.248,200
5,24,1073741824,0.8,Да,0.9815840640000001,12.8747768,0.80957575,0.008,200
6,24,16777216,1.0,Да,0.8443442259999999,12.9145868,0.5975255714285714,0.014,200
7,24,1048576,1.2,Да,0.28826864,13.014955016,0.6786369999999999,0.124,200
8,24,144715,1.4,Да,0.06810849399999999,12.9154244,0.46567598986486486,0.592,200
