Номер задачи,Время нахождения первого решения,Время нахождения всех решений,Число решений
151,0.013869,12.2675,1
178,1.926308,12.5984,1
187,0.0896,12.707,1
196,0.012048,11.9427,1
241,0.048809,12.4099,1
169,3.17791,13.2077,1
214,0.00059,12.4136,1
205,0.005454,12.6127,1
232,0.557463,12.4816,1
223,3.605172,12.3181,1
250,0.003411,12.3237,1
268,0.922113,12.1571,1
259,0.811739,12.2698,1
161,0.137191,13.3484,1
143,1.1228,12.6257,1
179,0.129326,12.7177,1
152,0.001126,12.9764,1
197,0.020155,13.0504,1
188,3.491451,13.0965,1
242,0.86124,12.9673,1
215,2.928848,12.6975,1
170,2.002084,12.7516,1
206,0.000082,13.2169,1
233,4.806251,12.8398,1
224,0.591756,13.3265,1
251,0.023963,12.3085,1
269,0.004693,12.4683,1
260,4.574746,12.7752,1
162,0.073828,12.3135,1
144,0.014887,12.6079,1
180,0.015485,12.3228,1
198,3.278789,12.7747,1
153,3.093907,12.5745,1
189,0.113433,12.5383,1
216,0.00078,12.9823,1
171,0.000028,13.0028,1
207,0.041729,12.6243,1
243,4.756141,12.6911,1
234,0.032664,12.5044,1
225,0.022144,12.93,1
252,0.066317,12.9565,1
270,5.403103,12.6636,1
261,0.043537,12.7796,1
271,0.001262,12.2701,1
280,0.084431,12.4599,1
289,0.07419,11.9083,1
298,0.026222,12.4013,1
316,0.057442,12.485,1
307,0.292934,12.933,1
325,0.000037,12.8039,1
334,0.009764,12.7541,1
343,0.038512,13.0753,1
352,0.02095,12.7224,1
361,1.999192,13.0165,1
370,4.223443,12.7258,1
388,0.006322,12.8927,1
379,0.11265,12.4718,1
397,0.002091,12.5779,1
272,0.000823,12.3204,1
290,0.542494,12.7463,1
281,0.075328,12.1309,1
299,0.001986,12.5596,1
317,0.00057,12.9986,1
326,0.000091,12.7912,1
308,0.26987,11.9679,1
335,0.218773,12.3799,1
344,0.000133,13.2096,1
353,2.308582,12.6581,1
362,0.000484,12.6349,1
371,0.003032,12.1069,1
389,0.010048,12.2145,1
380,1.430511,13.0046,1
398,2.068492,12.3134,1
273,0.310924,12.6788,1
291,0.000731,13.3077,1
282,0.051906,12.7792,1
300,4.056729,13.0925,1
327,0.034185,12.3284,1
318,0.318971,12.6408,1
309,0.306706,12.9169,1
336,0.3011,12.6694,1
345,1.709935,12.9394,1
354,0.377201,12.8384,1
363,0.008075,12.2437,1
372,1.75845,12.3542,1
390,0.083498,12.7349,1
381,4.488487,12.9828,1
399,4.452147,12.7753,2
274,0.038769,12.7523,1
292,2.133634,12.8469,1
283,0.018261,12.4569,1
301,0.637143,12.6607,1
328,1.069221,12.7059,1
319,3.539547,12.6579,1
310,2.79469,12.0086,1
337,0.000149,12.809,1
346,5.183076,12.6705,1
355,1.177726,12.7534,1
364,0.000439,12.4914,1
391,0.188447,12.943,1
373,0.256489,12.7792,1
382,0.01603,13.1331,1
400,1.880738,12.4869,1
275,3.366769,12.7052,1
293,0.000574,13.0229,1
284,0.039399,13.2078,1
329,2.095722,12.8265,1
302,0.64812,12.9514,1
320,0.940616,12.9717,1
311,4.21714,13.084,1
338,0.125442,12.5541,1
347,0.000753,12.4769,1
356,0.016487,13.059,1
365,5.150009,13.1986,1
392,0.344418,12.6213,1
383,2.268533,12.4853,1
374,0.04252,12.3613,1
401,0.000623,12.7236,1
