Номер задачи,Время работы алгортима,Достигнутый минимум фитнесс-функции,Причина остановки алгоритма,Номер последнего поколения
33,1.760624,43670,Нет улучшений на последних двух итерациях,936
125,1.038216,2715167,Нет улучшений на последних двух итерациях,586
60,1.790226,261479,Достигнуто максимальное число поколений,1000
133,1.032123,0,Найдено точное решение,575
25,1.221856,240610,Нет улучшений на последних двух итерациях,671
106,1.397374,1225646,Нет улучшений на последних двух итерациях,769
52,1.104385,2835085,Нет улучшений на последних двух итерациях,608
115,0.935069,954662,Нет улучшений на последних двух итерациях,519
70,1.023137,1904831,Нет улучшений на последних двух итерациях,586
44,1.047034,901188,Нет улучшений на последних двух итерациях,601
18,0.950596,1110223,Нет улучшений на последних двух итерациях,526
7,1.230373,989446,Нет улучшений на последних двух итерациях,695
34,0.965842,2153898,Нет улучшений на последних двух итерациях,531
80,1.081052,5178818,Нет улучшений на последних двух итерациях,591
88,1.776670,675351,Достигнуто максимальное число поколений,1000
126,1.168318,32286,Нет улучшений на последних двух итерациях,649
97,1.773286,2141020,Нет улучшений на последних двух итерациях,988
134,1.037367,1881978,Нет улучшений на последних двух итерациях,606
26,0.951810,1386656,Нет улучшений на последних двух итерациях,519
116,0.920847,166016,Нет улучшений на последних двух итерациях,515
61,1.194550,53256,Нет улучшений на последних двух итерациях,689
53,0.988918,49488,Нет улучшений на последних двух итерациях,572
8,1.112859,1438215,Нет улучшений на последних двух итерациях,636
136,1.273903,744787,Нет улучшений на последних двух итерациях,737
107,1.684616,1317154,Достигнуто максимальное число поколений,1000
35,1.143930,764202,Нет улучшений на последних двух итерациях,649
45,1.410955,145226,Нет улучшений на последних двух итерациях,802
71,1.461962,1242408,Нет улучшений на последних двух итерациях,864
89,1.067320,1703805,Нет улучшений на последних двух итерациях,600
145,1.054812,436238,Нет улучшений на последних двух итерациях,604
135,1.045308,1762877,Нет улучшений на последних двух итерациях,590
62,0.971025,1668894,Нет улучшений на последних двух итерациях,548
81,1.436307,1392649,Нет улучшений на последних двух итерациях,823
27,1.114158,3110000,Нет улучшений на последних двух итерациях,621
117,1.156250,3642598,Нет улучшений на последних двух итерациях,665
98,1.330556,1621451,Нет улучшений на последних двух итерациях,760
54,1.454049,1172508,Нет улучшений на последних двух итерациях,823
72,1.001268,527923,Нет улучшений на последних двух итерациях,505
90,1.085345,247367,Нет улучшений на последних двух итерациях,567
9,1.214220,979193,Нет улучшений на последних двух итерациях,640
