Номер задачи,Время работы алгортима,Достигнутый минимум фитнесс-функции,Причина остановки алгоритма,Номер последнего поколения
143,1.695840,1002663,Достигнуто максимальное число поколений,1000
205,1.261164,242044,Нет улучшений на последних двух итерациях,750
162,1.010591,298879,Нет улучшений на последних двух итерациях,591
214,1.170592,263962,Нет улучшений на последних двух итерациях,648
189,1.206041,850687,Нет улучшений на последних двух итерациях,700
178,1.713753,445702,Нет улучшений на последних двух итерациях,969
251,1.341663,3062278,Нет улучшений на последних двух итерациях,767
197,1.419952,572689,Нет улучшений на последних двух итерациях,828
260,1.017440,1689008,Нет улучшений на последних двух итерациях,576
170,1.156605,722442,Нет улучшений на последних двух итерациях,679
153,1.243977,956313,Нет улучшений на последних двух итерациях,720
224,0.909624,2231371,Нет улучшений на последних двух итерациях,527
233,0.881242,1981376,Нет улучшений на последних двух итерациях,500
242,1.453515,612508,Нет улучшений на последних двух итерациях,830
215,0.950473,3718101,Нет улучшений на последних двух итерациях,548
206,1.194784,642794,Нет улучшений на последних двух итерациях,693
269,1.463069,617143,Нет улучшений на последних двух итерациях,862
261,0.977145,2102024,Нет улучшений на последних двух итерациях,577
289,0.840129,37155,Нет улучшений на последних двух итерациях,500
271,1.353133,1173915,Нет улучшений на последних двух итерациях,808
280,1.324827,1033503,Нет улучшений на последних двух итерациях,755
144,1.707916,222220,Достигнуто максимальное число поколений,1000
198,1.361877,1421223,Нет улучшений на последних двух итерациях,806
171,1.369882,347520,Нет улучшений на последних двух итерациях,804
179,1.696433,7931456,Достигнуто максимальное число поколений,1000
252,1.662918,505213,Нет улучшений на последних двух итерациях,981
234,1.159019,1390091,Нет улучшений на последних двух итерациях,689
207,0.908267,2264127,Нет улучшений на последних двух итерациях,539
243,1.276853,4926415,Нет улучшений на последних двух итерациях,718
225,1.659642,3938886,Достигнуто максимальное число поколений,1000
270,0.984401,638968,Нет улучшений на последних двух итерациях,587
316,0.702284,0,Найдено точное решение,420
298,1.048070,1019143,Нет улучшений на последних двух итерациях,609
290,1.072674,5163963,Нет улучшений на последних двух итерациях,654
281,1.109006,804084,Нет улучшений на последних двух итерациях,644
272,1.271488,1369040,Нет улучшений на последних двух итерациях,748
216,1.667906,918757,Достигнуто максимальное число поколений,1000
325,0.949115,172048,Нет улучшений на последних двух итерациях,594
343,0.998371,1437597,Нет улучшений на последних двух итерациях,597
307,1.454425,170138,Нет улучшений на последних двух итерациях,865
379,0.926629,2534408,Нет улучшений на последних двух итерациях,578
180,1.394059,2354991,Нет улучшений на последних двух итерациях,853
299,1.141672,1639258,Нет улучшений на последних двух итерациях,608
291,1.157308,4989182,Нет улучшений на последних двух итерациях,584
317,1.263360,1097667,Нет улучшений на последних двух итерациях,651
370,1.562932,1650127,Нет улучшений на последних двух итерациях,841
334,1.867995,1163980,Достигнуто максимальное число поколений,1000
361,1.653330,702677,Нет улучшений на последних двух итерациях,860
282,1.249613,2291257,Нет улучшений на последних двух итерациях,628
352,1.842614,126134,Достигнуто максимальное число поколений,1000
273,1.527672,1217079,Нет улучшений на последних двух итерациях,791
380,1.114985,2281016,Нет улучшений на последних двух итерациях,520
388,1.564251,766793,Нет улучшений на последних двух итерациях,829
397,1.108920,485539,Нет улучшений на последних двух итерациях,560
326,1.634544,2201433,Нет улучшений на последних двух итерациях,851
292,0.877780,3028384,Нет улучшений на последних двух итерациях,509
318,0.941510,2654018,Нет улучшений на последних двух итерациях,541
300,1.039844,773343,Нет улучшений на последних двух итерациях,581
344,1.697718,843691,Нет улучшений на последних двух итерациях,883
371,0.996491,60392,Нет улучшений на последних двух итерациях,576
362,0.994659,168147,Нет улучшений на последних двух итерациях,578
335,1.089932,1656302,Нет улучшений на последних двух итерациях,622
283,1.018133,1500383,Нет улучшений на последних двух итерациях,594
308,1.865900,6777,Достигнуто максимальное число поколений,1000
398,0.873706,3435274,Нет улучшений на последних двух итерациях,514
381,1.096275,57381,Нет улучшений на последних двух итерациях,638
293,1.070163,1148839,Нет улучшений на последних двух итерациях,600
353,1.695097,14135416,Достигнуто максимальное число поколений,1000
389,1.407867,1538686,Нет улучшений на последних двух итерациях,805
327,1.285782,468619,Нет улучшений на последних двух итерациях,762
345,1.108237,353711,Нет улучшений на последних двух итерациях,649
274,1.720309,221154,Достигнуто максимальное число поколений,1000
336,1.104195,2269307,Нет улучшений на последних двух итерациях,604
301,1.444213,94923,Нет улучшений на последних двух итерациях,839
319,1.610158,1360205,Нет улучшений на последних двух итерациях,934
382,0.921798,2706748,Нет улучшений на последних двух итерациях,536
284,1.435212,368122,Нет улучшений на последних двух итерациях,786
363,1.493722,2825480,Нет улучшений на последних двух итерациях,818
372,1.729936,1265153,Достигнуто максимальное число поколений,1000
294,0.950297,42049,Нет улучшений на последних двух итерациях,529
354,0.965486,1465859,Нет улучшений на последних двух итерациях,579
399,1.314893,611885,Нет улучшений на последних двух итерациях,746
309,1.754736,4358782,Достигнуто максимальное число поколений,1000
320,0.920725,871940,Нет улучшений на последних двух итерациях,513
346,1.359432,688011,Нет улучшений на последних двух итерациях,737
302,1.139763,676463,Нет улучшений на последних двух итерациях,621
390,1.529093,1007261,Нет улучшений на последних двух итерациях,833
383,1.021848,1141158,Нет улучшений на последних двух итерациях,541
328,1.652679,567882,Нет улучшений на последних двух итерациях,870
275,1.685531,610568,Нет улучшений на последних двух итерациях,909
295,1.117526,2197923,Нет улучшений на последних двух итерациях,577
364,1.337773,377425,Нет улучшений на последних двух итерациях,666
337,1.851283,425290,Достигнуто максимальное число поколений,1000
310,1.168057,333806,Нет улучшений на последних двух итерациях,587
355,1.436450,118224,Нет улучшений на последних двух итерациях,717
285,1.827943,101990,Нет улучшений на последних двух итерациях,932
303,1.024615,125400,Нет улучшений на последних двух итерациях,561
373,1.686872,5077897,Нет улучшений на последних двух итерациях,894
347,1.105027,455255,Нет улучшений на последних двух итерациях,589
329,0.934264,3901853,Нет улучшений на последних двух итерациях,500
391,1.211025,2347462,Нет улучшений на последних двух итерациях,620
400,1.921436,3392582,Достигнуто максимальное число поколений,1000
276,0.958333,2909030,Нет улучшений на последних двух итерациях,534
296,0.978744,219458,Нет улучшений на последних двух итерациях,526
338,1.003184,448327,Нет улучшений на последних двух итерациях,533
356,0.911918,2575382,Нет улучшений на последних двух итерациях,515
321,1.852567,27596,Достигнуто максимальное число поколений,1000
311,1.098790,3297,Нет улучшений на последних двух итерациях,607
384,1.748665,2022439,Достигнуто максимальное число поколений,1000
374,0.943006,187718,Нет улучшений на последних двух итерациях,543
286,1.046827,1040230,Нет улучшений на последних двух итерациях,591
348,1.006013,1025928,Нет улучшений на последних двух итерациях,568
365,1.674161,676906,Нет улучшений на последних двух итерациях,938
304,1.413347,419859,Нет улучшений на последних двух итерациях,836
401,1.116665,1480923,Нет улучшений на последних двух итерациях,670
392,1.248532,2236392,Нет улучшений на последних двух итерациях,732
339,0.875921,1668950,Нет улучшений на последних двух итерациях,519
297,1.141054,430304,Нет улучшений на последних двух итерациях,677
312,0.882874,1602424,Нет улучшений на последних двух итерациях,511
322,1.047542,257008,Нет улучшений на последних двух итерациях,608
385,0.981475,4741595,Нет улучшений на последних двух итерациях,510
330,1.736730,1248568,Достигнуто максимальное число поколений,1000
349,0.892209,1022105,Нет улучшений на последних двух итерациях,531
277,1.746913,1331426,Достигнуто максимальное число поколений,1000
375,1.239641,807897,Нет улучшений на последних двух итерациях,716
366,1.039661,4209741,Нет улучшений на последних двух итерациях,604
305,0.950162,1837145,Нет улучшений на последних двух итерациях,563
357,1.751142,1797344,Нет улучшений на последних двух итерациях,959
402,1.022799,1221748,Нет улучшений на последних двух итерациях,571
287,1.503951,1003455,Нет улучшений на последних двух итерациях,850
313,1.003623,137302,Нет улучшений на последних двух итерациях,550
340,1.245749,2266437,Нет улучшений на последних двух итерациях,658
386,1.008122,154829,Нет улучшений на последних двух итерациях,512
323,1.074413,500651,Нет улучшений на последних двух итерациях,564
393,1.406294,2178220,Нет улучшений на последних двух итерациях,717
406,1.601913,594760,Нет улучшений на последних двух итерациях,842
358,0.934365,5185147,Нет улучшений на последних двух итерациях,503
350,1.509798,1468772,Нет улучшений на последних двух итерациях,756
367,1.243267,2135428,Нет улучшений на последних двух итерациях,593
306,1.150737,1083097,Нет улучшений на последних двух итерациях,577
314,1.053106,1983439,Нет улучшений на последних двух итерациях,543
278,1.644323,2452005,Нет улучшений на последних двух итерациях,864
331,1.901219,802123,Достигнуто максимальное число поколений,1000
376,1.590640,801996,Нет улучшений на последних двух итерациях,815
324,0.952367,2323258,Нет улучшений на последних двух итерациях,534
403,1.399095,1431991,Нет улучшений на последних двух итерациях,745
288,1.392292,544453,Нет улучшений на последних двух итерациях,711
394,1.058472,3336047,Нет улучшений на последних двух итерациях,587
387,1.127616,171521,Нет улучшений на последних двух итерациях,634
341,1.447215,98507,Нет улучшений на последних двух итерациях,790
359,1.029938,49638,Нет улучшений на последних двух итерациях,556
368,1.206359,7282426,Нет улучшений на последних двух итерациях,647
424,1.174586,59617,Нет улучшений на последних двух итерациях,614
377,1.230678,2714470,Нет улучшений на последних двух итерациях,669
279,1.242391,285544,Нет улучшений на последних двух итерациях,651
407,1.850057,7398806,Достигнуто максимальное число поколений,1000
315,1.379614,1418619,Нет улучшений на последних двух итерациях,738
404,1.275910,2145870,Нет улучшений на последних двух итерациях,668
433,1.245334,1631296,Нет улучшений на последних двух итерациях,620
415,1.674886,1526347,Нет улучшений на последних двух итерациях,890
332,1.420635,3717823,Нет улучшений на последних двух итерациях,758
351,1.978506,1159842,Достигнуто максимальное число поколений,1000
442,1.484045,1678007,Нет улучшений на последних двух итерациях,712
